group,subtask,n,primary_correct,primary_accuracy,normalized_exact_correct,normalized_exact_accuracy,raw_exact_correct,raw_exact_accuracy,mean_fts,lure_matches,lure_match_rate,valid_smiles,atom_mapped_outputs,missing_answers,truncated,mean_output_tokens
A,all,135,110,0.8148148148148148,110,0.8148148148148148,110,0.8148148148148148,0.9582303769801457,2,0.014814814814814815,135,0,0,0,53.007407407407406
A,add,45,35,0.7777777777777778,35,0.7777777777777778,35,0.7777777777777778,0.9546869056268864,1,0.022222222222222223,45,0,0,0,53.644444444444446
A,delete,45,43,0.9555555555555556,43,0.9555555555555556,43,0.9555555555555556,0.9810350417757825,0,0.0,45,0,0,0,53.422222222222224
A,substitute,45,32,0.7111111111111111,32,0.7111111111111111,32,0.7111111111111111,0.9389691835377681,1,0.022222222222222223,45,0,0,0,51.955555555555556
N,all,135,118,0.8740740740740741,118,0.8740740740740741,118,0.8740740740740741,0.9645790067240491,2,0.014814814814814815,135,0,0,0,53.22222222222222
N,add,45,37,0.8222222222222222,37,0.8222222222222222,37,0.8222222222222222,0.9588670368921767,2,0.044444444444444446,45,0,0,0,53.55555555555556
N,delete,45,42,0.9333333333333333,42,0.9333333333333333,42,0.9333333333333333,0.9725302406783888,0,0.0,45,0,0,0,53.577777777777776
N,substitute,45,39,0.8666666666666667,39,0.8666666666666667,39,0.8666666666666667,0.9623397426015816,0,0.0,45,0,0,0,52.53333333333333
H,all,135,117,0.8666666666666667,117,0.8666666666666667,117,0.8666666666666667,0.9634842190895789,2,0.014814814814814815,135,0,0,0,53.11851851851852
H,add,45,37,0.8222222222222222,37,0.8222222222222222,37,0.8222222222222222,0.9545334516062105,2,0.044444444444444446,45,0,0,0,53.46666666666667
H,delete,45,42,0.9333333333333333,42,0.9333333333333333,42,0.9333333333333333,0.9725302406783888,0,0.0,45,0,0,0,53.577777777777776
H,substitute,45,38,0.8444444444444444,38,0.8444444444444444,38,0.8444444444444444,0.9633889649841374,0,0.0,45,0,0,0,52.31111111111111
L,all,135,117,0.8666666666666667,117,0.8666666666666667,117,0.8666666666666667,0.9656016816647142,1,0.007407407407407408,135,0,0,0,53.02962962962963
L,add,45,36,0.8,36,0.8,36,0.8,0.9505526916254505,1,0.022222222222222223,45,0,0,0,53.355555555555554
L,delete,45,44,0.9777777777777777,44,0.9777777777777777,44,0.9777777777777777,0.9870707070707071,0,0.0,45,0,0,0,53.333333333333336
L,substitute,45,37,0.8222222222222222,37,0.8222222222222222,37,0.8222222222222222,0.9591816462979849,0,0.0,45,0,0,0,52.4
